key,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SAF111,1.568900,1.545499,1.535382,1.523402,1.299989,1.282847,1.203444,1.186376,1.100222,1.105166,1.030959,1.151047,1.109265,1.091266,1.242845,1.231850,1.142211,1.139219,1.099077,1.068962,0.965120,0.963088,0.986328,1.003458,1.030948,1.166906,1.066704,1.111489,1.035777
SAF112,2.685311,2.571494,2.545291,2.575369,2.274480,2.225204,2.322787,2.274639,2.137317,2.116148,1.808682,1.899729,1.746992,1.815106,1.961334,1.956350,1.860973,2.016157,1.877840,1.741567,1.636899,1.598807,1.685979,1.740264,1.889739,1.851611,1.723137,1.623175,1.996497
SEFJ,1.059212,1.089056,1.090982,1.050967,0.917404,0.877263,0.843012,0.849986,0.853725,0.822612,0.887826,0.910829,0.820936,0.839974,0.916623,0.905625,0.860913,0.898962,0.846830,0.818737,0.744864,0.729825,0.769817,0.793945,0.752692,0.820042,0.748494,0.741994,0.758569
SAF1131,1.090876,1.112079,1.105995,1.136045,0.929422,0.957379,0.965158,1.024188,0.972965,0.964891,0.905842,0.909828,0.880003,0.886028,0.983669,0.988682,1.043106,1.077153,1.103081,1.047943,1.034200,1.033167,1.041458,1.055586,1.085999,1.135828,1.070707,1.118499,1.008757
SEFM,0.334004,0.328318,0.324292,0.319294,0.276423,0.278401,0.258310,0.253294,0.247500,0.248487,0.251234,0.285260,0.274313,0.267310,0.304207,0.299206,0.304323,0.303325,0.297291,0.292263,0.269312,0.266301,0.278658,0.288707,0.323297,0.380949,0.340225,0.220295,0.262197
SAF114,,1.050019,1.045941,1.026945,0.968482,0.955376,0.906087,0.885027,0.911842,0.907779,0.928864,0.982894,0.953087,0.927075,0.961654,0.943651,0.956013,0.956023,0.977958,0.949855,0.874014,0.868982,0.905136,0.932284,0.933859,1.041594,1.027678,0.898204,0.995747
SAF115,2.014239,2.003944,1.963767,1.936782,1.813775,1.773554,1.767121,1.717993,1.780597,1.746423,1.853724,2.023842,2.025309,1.998318,2.273546,2.279573,2.029151,2.045188,2.034994,1.987789,1.866165,1.834073,1.929554,1.976843,2.154983,2.352859,2.194448,2.341137,2.274706
SEFV,5.801661,5.735563,5.717145,5.663210,6.229531,6.224964,6.134361,6.120099,5.965049,6.000761,6.178746,6.479897,5.943776,5.932882,5.672858,5.716945,5.710053,5.836245,5.790675,5.804224,6.008970,6.061850,6.205645,6.362588,5.209793,4.814989,5.391558,5.655578,5.377033
SAF116,1.004055,0.986957,0.987889,0.981903,1.032580,1.030484,1.002203,0.997157,1.111245,1.109174,1.081005,1.128027,1.057205,1.052221,0.948645,0.949655,1.011072,1.016087,0.958940,0.952858,0.975131,0.974101,1.025420,1.040549,0.889819,0.847109,0.854564,0.836120,0.840630
SEHA,7.032471,7.013803,7.042338,7.085519,6.430839,6.476326,6.164397,6.140123,5.843804,5.941646,5.770366,5.962426,5.972809,5.931881,6.489413,6.549519,6.984403,7.166668,7.740586,7.882094,7.832085,7.951986,7.810433,7.881309,7.404812,7.546792,7.676066,7.509062,7.845884
SEHB,2.376842,2.378307,2.361125,2.348160,2.706140,2.657827,2.957549,3.011493,2.616285,2.653200,2.566387,2.480257,0.769878,0.776901,0.749510,0.741512,0.795844,0.839899,0.841825,0.851767,0.899043,0.888003,0.926186,0.827026,0.914842,1.087708,1.338884,1.293734,1.289967
SEHD,0.385075,0.371360,0.370333,0.366337,0.353541,0.365526,0.385463,0.387449,0.375759,0.369725,0.325303,0.333303,0.347396,0.349405,0.348237,0.354244,0.358380,0.375402,0.350343,0.343309,0.375436,0.375424,0.371878,0.366899,0.383353,0.376939,0.413273,0.410550,0.292219
SEHE,0.266590,0.227220,0.273246,0.361332,0.188288,0.205296,0.231278,0.300348,0.339686,0.338664,0.351327,0.301274,0.276315,0.309359,0.343233,0.332229,0.275292,0.236253,0.180177,0.190171,0.186216,0.185209,0.170402,0.145356,0.192177,0.215537,0.167110,0.139187,0.140105
SEHF,3.837472,3.577470,3.524172,3.841534,3.471311,3.403902,3.603324,3.726323,4.163410,4.036912,3.867597,4.162788,3.756282,3.695287,3.875635,3.769601,3.708931,3.819086,3.591520,3.595236,3.422971,3.403846,3.103324,3.142700,3.337070,3.439565,3.118058,3.098152,3.264448
SEHG,,0.934907,0.928836,0.924851,0.858313,0.865246,0.911093,0.931080,0.878775,0.898762,0.913850,0.971884,1.053201,1.096272,1.156787,1.201829,1.178249,1.223309,1.158135,1.173056,1.075247,1.102246,1.085562,1.109719,1.112023,1.058636,1.086717,1.080448,1.144859
SAH3,4.934476,4.814670,4.684216,4.609241,4.847417,4.664717,4.475370,4.360058,4.758612,4.660134,4.706377,4.794363,4.595239,4.414120,4.111796,4.042790,4.266523,4.193487,4.164081,4.032629,4.254936,4.261816,4.610882,4.693499,4.784402,5.282153,4.508976,4.411912,4.301226
SAA1,1.419773,1.359319,1.336203,1.258158,1.123719,1.066536,1.025230,0.978135,0.916852,0.886738,0.935870,0.923841,0.904031,0.883024,0.855582,0.858592,0.866919,0.834893,0.789774,0.750676,0.737856,0.735831,0.698649,0.667636,0.625576,0.646610,0.636420,0.654878,0.588441
SAA2,2.032624,1.940883,1.880693,1.788646,1.809769,1.740506,1.706047,1.639902,1.615263,1.593123,1.601489,1.542404,1.581803,1.521765,1.508025,1.496032,1.505596,1.440541,1.251226,1.229106,1.230427,1.191346,1.160739,1.077640,0.952877,1.010516,1.009666,0.968298,0.928697
SEAF,0.273740,0.272264,0.272245,0.254234,0.203311,0.193278,0.195234,0.188218,0.183370,0.177348,0.185172,0.183167,0.196224,0.192223,0.201137,0.200138,0.136144,0.135145,0.157154,0.150135,0.134156,0.138156,0.133315,0.125307,0.113104,0.102255,0.099065,0.102137,0.103077
SEAE,0.914170,0.876851,0.828746,0.801738,0.875339,0.854230,0.778935,0.765888,0.760536,0.750471,0.679632,0.688627,0.721823,0.700813,0.678461,0.696481,0.710753,0.725777,0.696683,0.691622,0.671779,0.658744,0.669580,0.645582,0.610562,0.507263,0.530350,0.578776,0.585439
SEAG,0.409589,0.387376,0.370333,0.354326,0.394604,0.370534,0.274329,0.274318,0.318644,0.325638,0.333310,0.356324,0.295337,0.307357,0.323220,0.315218,0.222236,0.211226,0.209205,0.215194,0.247287,0.237268,0.154364,0.153376,0.158145,0.219547,0.238157,0.180242,0.163122
SETA01,5.171445,4.987838,4.839355,4.681307,5.090789,4.871014,4.822787,4.697449,5.165434,4.991784,4.636312,4.484081,3.577078,3.517080,3.197174,3.191202,3.562777,3.554804,3.745671,3.681313,3.809419,3.728213,3.742833,3.765225,4.108780,4.323766,3.686433,4.398895,3.840881
SETA02,1.920268,1.915858,1.889701,1.888738,2.198363,2.027920,2.009411,2.039366,1.802641,1.719370,1.774650,1.629483,2.014296,2.057387,1.914302,1.845273,1.674775,1.592704,2.103061,1.987789,2.404790,2.393705,2.538992,2.756754,4.146815,2.674660,2.013329,2.394208,2.761071
SETA03,0.736443,0.711690,0.692623,0.685631,1.062626,1.017465,0.863036,0.800929,0.614241,0.597170,0.610568,0.645587,0.598682,0.564655,0.403274,0.380262,0.401426,0.397425,0.570559,0.543489,0.642746,0.656742,0.647528,0.642574,0.728670,0.728815,0.517341,0.397533,0.394296
SETA04,0.140956,0.138134,0.143129,0.138127,0.120184,0.118170,0.107129,0.100116,0.090182,0.090177,0.082076,0.085077,0.090103,0.088102,0.071048,0.070048,0.073077,0.073078,0.095093,0.103093,0.117136,0.122138,0.129305,0.134329,0.153141,0.127317,0.139092,0.130174,0.138104
SETB,3.059150,2.495421,3.162847,3.485206,2.567929,3.123498,3.252903,3.973609,4.199483,4.355537,5.487103,3.166882,4.530164,5.084898,5.466717,5.465771,5.070375,3.983262,3.050990,3.259934,3.912539,3.766256,3.448138,2.882061,3.825519,3.283175,3.374227,2.987003,2.983237
SETC,0.571995,0.549533,0.533480,0.527485,0.421645,0.416600,0.369443,0.364423,0.362733,0.370727,0.356331,0.382348,0.401458,0.408474,0.438298,0.434300,0.441468,0.435466,0.396388,0.384346,0.382444,0.383433,0.397939,0.393965,0.423390,0.492226,0.469310,0.362486,0.349262
SETD,1.637335,1.625577,1.623461,1.624495,1.402145,1.420045,1.350621,1.342557,1.133289,1.147249,1.124045,1.189082,1.168332,1.173361,1.155786,1.149793,1.154223,1.169251,1.168145,1.166049,1.124304,1.129276,1.079548,1.101699,1.038956,1.106756,1.233814,1.020367,1.039780
SETE,2.605640,2.504429,2.452207,2.415222,2.291506,2.439513,2.468963,2.472869,2.305657,2.265440,1.967830,2.043860,2.494844,2.565977,2.427651,2.498724,2.215348,2.302464,2.381334,2.496247,2.354731,2.417732,1.705024,1.601925,2.385194,2.517268,2.795845,2.799752,2.756067
SETF,0.646558,0.642623,0.634571,0.634584,0.558855,0.563812,0.472567,0.496576,0.485982,0.484951,0.465433,0.482439,0.527601,0.526611,0.561382,0.563389,0.567602,0.565605,0.530520,0.529477,0.538625,0.543614,0.574355,0.566388,0.521480,0.496236,0.540357,0.495664,0.505379
SETG,1.366659,1.347307,1.401261,1.411298,1.212856,1.173690,1.065278,1.030195,1.089200,1.062082,1.107030,1.126025,1.188355,1.228425,1.181804,1.189821,1.165235,1.123202,1.136113,1.086978,1.154339,1.114259,1.277014,1.107714,0.777715,0.786960,1.071707,1.469970,1.486115
SAM1,1.248174,1.253216,1.269142,1.262161,1.379110,1.389000,1.500801,1.485723,1.459949,1.448840,1.602490,1.626480,1.612839,1.634896,1.717168,1.715183,1.705808,1.773898,1.807772,1.853668,1.750030,1.708931,1.646887,1.583881,1.525403,1.458632,1.489983,1.529049,1.490118
SAM2,4.486073,4.465331,4.505055,4.556192,4.440794,4.580596,4.580497,4.654399,4.773643,4.843493,4.634310,4.769340,4.907595,4.999800,5.348637,5.451762,5.853204,5.950367,6.575444,6.693024,6.932041,6.981890,7.207009,7.306902,6.968411,6.669607,6.519303,6.756053,6.940205
SAR,6.276621,6.125942,6.013412,5.913440,6.028223,5.951570,5.879055,5.739658,5.648410,5.562903,5.652257,5.746229,6.444347,6.300308,6.048113,5.994136,5.799147,5.756159,5.739625,5.668101,5.743663,5.700441,5.834770,5.811238,5.112704,5.398442,5.310505,5.299101,5.140856
SAE1,2.671011,2.696616,2.743469,2.803579,2.730177,2.839088,2.844413,2.934404,2.973005,3.082041,2.946740,3.109830,3.038464,3.110608,3.218188,3.283265,3.247442,3.328562,3.192128,3.211891,3.037524,3.058456,3.039172,3.040449,2.679465,2.279676,2.490644,2.586466,2.603953
