gauge,key,label,group,role,note
cpi,SEFA,Cereals and cereal products,food_home,common,
cpi,SEFB,Bakery products,food_home,common,
cpi,SEFC,Beef and veal,food_home,common,
cpi,SEFD,Pork,food_home,common,
cpi,SEFE,Other meats,food_home,common,
cpi,SEFF,Poultry,food_home,common,
cpi,SEFG,Fish and seafood,food_home,common,
cpi,SEFH,Eggs,food_home,common,
cpi,SEFJ,Dairy and related products,food_home,common,
cpi,SEFK,Fresh fruits,food_home,common,
cpi,SEFL,Fresh vegetables,food_home,common,
cpi,SEFM,Processed fruits and vegetables,food_home,common,
cpi,SEFN,Juices and nonalcoholic drinks,food_home,common,
cpi,SEFP,Beverage materials including coffee and tea,food_home,common,
cpi,SEFR,Sugar and sweets,food_home,common,
cpi,SEFS,Fats and oils,food_home,common,
cpi,SEFT,Other foods,food_home,common,
cpi,SEFV,Food away from home,food_away,common,
cpi,SEFW,Alcoholic beverages at home,alcohol,common,
cpi,SEFX,Alcoholic beverages away from home,alcohol,common,
cpi,SEHA,Rent of primary residence,shelter_rent,common,
cpi,SEHC,Owners' equivalent rent of residences,shelter_oer,common,
cpi,SEHB,Lodging away from home,lodging,common,
cpi,SEHD,Tenants' and household insurance,household_insurance,scope,PCE measures net insurance (premiums less benefits); CPI measures the premium. -> scope.
cpi,SEHE,Fuel oil and other fuels,household_energy,common,
cpi,SEHF,Energy services,household_energy,common,
cpi,SEHG,Water and sewer and trash collection services,utilities_other,common,
cpi,SEHH,Window and floor coverings and other linens,household_furnishings,common,
cpi,SEHJ,Furniture and bedding,household_furnishings,common,
cpi,SEHK,Appliances,household_furnishings,common,
cpi,SEHL,Other household equipment and furnishings,household_furnishings,common,
cpi,SEHM,"Tools, hardware, outdoor equipment and supplies",household_furnishings,common,
cpi,SEHN,Housekeeping supplies,household_furnishings,common,
cpi,SEHP,Household operations,household_furnishings,common,
cpi,SEAA,Men's apparel,apparel,common,
cpi,SEAB,Boys' apparel,apparel,common,
cpi,SEAC,Women's apparel,apparel,common,
cpi,SEAD,Girls' apparel,apparel,common,
cpi,SEAE,Footwear,apparel,common,
cpi,SEAF,Infants' and toddlers' apparel,apparel,common,
cpi,SEAG,Jewelry and watches,jewelry_watches,common,
cpi,SETA,New and used motor vehicles,vehicles,common,
cpi,SETB,Motor fuel,motor_fuel,common,
cpi,SETC,Motor vehicle parts and equipment,vehicle_parts,common,
cpi,SETD,Motor vehicle maintenance and repair,vehicle_services,common,
cpi,SETF,Motor vehicle fees,vehicle_services,common,
cpi,SETE,Motor vehicle insurance,vehicle_insurance,scope,Same net-vs-premium difference as household insurance. -> scope.
cpi,SETG,Public transportation,public_transport,common,
cpi,SEMF,Medicinal drugs,medical_goods,common,
cpi,SEMG,Medical equipment and supplies,medical_goods,common,
cpi,SEMC,Professional services,medical_services,common,
cpi,SEMD,Hospital and related services,medical_services,common,
cpi,SEME,Health insurance,health_insurance,scope,PCE net health insurance is mostly employer- and government-paid and is measured as the insurers' margin; CPI health insurance is the household premium net of benefits. Not comparable -> scope.
cpi,SERA,Video and audio,recreation_goods,common,
cpi,SERB,"Pets, pet products and services",recreation_goods,common,
cpi,SERC,Sporting goods,recreation_goods,common,
cpi,SERD,Photography,recreation_goods,common,
cpi,SERE,Other recreational goods,recreation_goods,common,
cpi,SERG,Recreational reading materials,recreation_goods,common,
cpi,SERF,Other recreation services,recreation_services,common,
cpi,SEEA,Educational books and supplies,education,common,
cpi,SEEB,"Tuition, other school fees, and childcare",education,common,
cpi,SEEC,Postage and delivery services,communication,common,
cpi,SEED,Telephone services,communication,common,
cpi,SEEE,"Information technology, hardware and services",communication,common,
cpi,SEGA,Tobacco and smoking products,tobacco,common,
cpi,SEGB,Personal care products,personal_care,common,
cpi,SEGC,Personal care services,personal_care,common,
cpi,SEGD,Miscellaneous personal services,personal_other,common,
cpi,SEGE,Miscellaneous personal goods,personal_other,common,
pce,DNEAR,New autos,vehicles,common,
pce,DNWTR,New light trucks,vehicles,common,
pce,DNPUR,Used autos,vehicles,common,
pce,DUTRR,Used light trucks,vehicles,common,
pce,DTATR,Tires,vehicle_parts,common,
pce,DPAAR,Accessories and parts,vehicle_parts,common,
pce,DFNRR,Furniture,household_furnishings,common,
pce,DCLFR,"Clocks, lamps, lighting fixtures, and other household decorative items",household_furnishings,common,
pce,DFLRR,Carpets and other floor coverings,household_furnishings,common,
pce,DWCTR,Window coverings,household_furnishings,common,
pce,DMHAR,Major household appliances,household_furnishings,common,
pce,DSEAR,Small electric household appliances,household_furnishings,common,
pce,DCHNR,Dishes and flatware,household_furnishings,common,
pce,DNECR,Nonelectric cookware and tableware,household_furnishings,common,
pce,DHDWR,"Tools, hardware, and supplies",household_furnishings,common,
pce,DLWNR,Outdoor equipment and supplies,household_furnishings,common,
pce,DCLER,Household cleaning products,household_furnishings,common,
pce,DPAPR,Household paper products,household_furnishings,common,
pce,DLINR,Household linens,household_furnishings,common,
pce,DSEWR,Sewing items,household_furnishings,common,
pce,DMHPR,Miscellaneous household products,household_furnishings,common,
pce,DDMSR,Domestic services,household_furnishings,common,
pce,DMSER,"Moving, storage, and freight services",household_furnishings,common,
pce,DFRER,"Repair of furniture, furnishings, and floor coverings",household_furnishings,common,
pce,DERER,Repair of household appliances,household_furnishings,common,
pce,DMHSR,Other household services,household_furnishings,common,
pce,DVAAR,Video and audio equipment,recreation_goods,common,
pce,DCAMR,Photographic equipment,recreation_goods,common,
pce,DSPGR,"Sporting equipment, supplies, guns, and ammunition (part of 80)",recreation_goods,common,
pce,DMCYR,Motorcycles,recreation_goods,common,
pce,DBCYR,Bicycles and accessories,recreation_goods,common,
pce,DBARR,"Pleasure boats, aircraft, and other recreational vehicles",recreation_goods,common,
pce,DRBKR,Recreational books (part of 90),recreation_goods,common,
pce,DMSCR,Musical instruments (part of 80),recreation_goods,common,
pce,DDOLR,"Games, toys, and hobbies",recreation_goods,common,
pce,DPRPR,Pets and related products,recreation_goods,common,
pce,DFLOR,"Flowers, seeds, and potted plants",recreation_goods,common,
pce,DFLMR,Film and photographic supplies,recreation_goods,common,
pce,DMAGR,Newspapers and periodicals,recreation_goods,common,
pce,DSTYR,Stationery and miscellaneous printed materials,recreation_goods,common,
pce,DIPER,Information processing equipment,communication,common,
pce,DTCER,Telephone and related communication equipment,communication,common,
pce,DTCSR,Telecommunication services (71),communication,common,
pce,DPSSR,Postal and delivery services (68),communication,common,
pce,DINTR,Internet access (72),communication,common,
pce,DJLYR,Jewelry,jewelry_watches,common,
pce,DWTCR,Watches,jewelry_watches,common,
pce,DTMER,Therapeutic medical equipment,medical_goods,common,
pce,DEYER,Corrective eyeglasses and contact lenses,medical_goods,common,
pce,DPNPR,Pharmaceutical products,medical_goods,common,
pce,DOMPR,Other medical products,medical_goods,common,
pce,DEBKR,Educational books (96),education,common,
pce,DHEDR,Higher education (97),education,common,
pce,DNEHR,"Nursery, elementary, and secondary schools (98)",education,common,
pce,DVEDR,Commercial and vocational schools (99),education,common,
pce,DCHCR,Child care,education,common,
pce,DLUGR,Luggage and similar personal items (part of 119),personal_other,common,
pce,DGALR,Legal services,personal_other,common,
