key,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SEFA,0.563470,0.548865,0.541491,0.528229,0.447942,0.439454,0.410181,0.399996,0.360993,0.362700,0.328051,0.370629,0.359000,0.350014,0.481990,0.471005,0.374007,0.369996,0.371004,0.356993,0.313022,0.307997,0.301003,0.307997,0.331993,0.365004,0.313997,0.340997,0.315003
SEFB,1.018779,1.003237,0.999598,1.000221,0.861582,0.851694,0.795290,0.783992,0.737985,0.751667,0.714828,0.793916,0.749000,0.739030,0.759985,0.760008,0.766015,0.766992,0.727007,0.710986,0.651046,0.653993,0.682007,0.692993,0.698986,0.799008,0.751992,0.768992,0.721007
SEFC,0.764342,0.734836,0.746434,0.761212,0.699153,0.686395,0.758184,0.724993,0.640987,0.634472,0.531565,0.564045,0.481000,0.503020,0.547989,0.564006,0.494010,0.581994,0.498005,0.459991,0.436031,0.424996,0.454005,0.470995,0.545989,0.437004,0.460995,0.444996,0.638006
SEFD,0.604675,0.546855,0.548523,0.561369,0.472155,0.450541,0.444280,0.448996,0.421992,0.418266,0.334126,0.350376,0.312000,0.342014,0.378992,0.360004,0.346007,0.371996,0.339003,0.317994,0.300021,0.289997,0.310003,0.321997,0.364993,0.338003,0.327997,0.287997,0.340003
SEFE,0.351268,0.333742,0.333534,0.334411,0.291566,0.293305,0.282815,0.281997,0.264995,0.265710,0.236926,0.251137,0.231000,0.236009,0.272995,0.265003,0.258005,0.274997,0.268003,0.257995,0.227016,0.220998,0.225002,0.232998,0.235995,0.262003,0.243998,0.185998,0.207002
SEFF,0.509905,0.502624,0.484227,0.477013,0.417676,0.405185,0.407173,0.412996,0.382992,0.374823,0.320964,0.339237,0.337000,0.336013,0.335993,0.349003,0.357007,0.359996,0.354004,0.340993,0.324023,0.313997,0.323003,0.332997,0.343993,0.352004,0.313997,0.287997,0.363004
SEFG,0.344057,0.342789,0.339562,0.332403,0.316788,0.305400,0.312901,0.308997,0.333993,0.340473,0.284514,0.306832,0.289000,0.297012,0.307994,0.303003,0.281006,0.290997,0.264003,0.262995,0.250018,0.252997,0.268003,0.277997,0.288994,0.291003,0.256997,0.241998,0.314003
SEFH,0.133914,0.121635,0.102471,0.116492,0.093826,0.099784,0.122352,0.093999,0.088998,0.100020,0.121501,0.110379,0.095000,0.099004,0.113998,0.113001,0.122002,0.133999,0.153002,0.098998,0.097007,0.092999,0.102001,0.098999,0.108998,0.167002,0.118999,0.171998,0.133001
SEFJ,1.068224,1.093709,1.095037,1.054450,0.924132,0.882940,0.844432,0.848992,0.851983,0.829460,0.898091,0.921510,0.820000,0.839034,0.915982,0.905009,0.860017,0.897991,0.846008,0.817984,0.744052,0.728993,0.768008,0.791992,0.751985,0.818008,0.747993,0.740993,0.758008
SEFK,0.563470,0.584049,0.586699,0.572416,0.470137,0.479771,0.480384,0.497995,0.484990,0.498080,0.469802,0.460755,0.442000,0.449018,0.507990,0.526005,0.560011,0.574994,0.587006,0.566989,0.555039,0.540995,0.537005,0.537995,0.580988,0.589006,0.574994,0.560994,0.532005
