# indexation_coverage.csv -- who is indexed to what, by country and year
#
# The observable state variable behind Eq. (W3): lambda_t = sum_j c_{j,t} e_j.
# One row per (country, year, channel). `coverage` is the share of EMPLOYEES
# whose pay moves through that channel, in [0,1]. Years between two rows are
# linearly interpolated by ism.wage_pipeline.load_coverage; a step change (a
# law taking effect) is encoded by two rows one year apart.
#
# Channels
#   automatic  a contractual escalator: pay moves with a price index by formula
#   public     statutory indexation of public-sector pay
#   minwage    pay set by, or benchmarked to, a price-indexed statutory floor
#   benchmark  inflation has a formal, named role in collective bargaining
# The four are NOT mutually exclusive; lambda is clipped at 1 (see Eq. W3).
#
# `modelled` = 1 for the four countries the model estimates; 0 for the
# reference rows (BE, IT, ES) that the site plots as context.
#
# Every row carries its source. Where a number is an arithmetic combination of
# two sourced numbers (typically union density x COLA share among covered
# contracts), the derivation is stated in `note`.
country,year,channel,coverage,modelled,source,note
US,1960,automatic,0.056,1,"BLS Major Collective Bargaining Settlements; Hirsch & Macpherson, unionstats.com, union density","union density 0.28 x COLA share of major contracts ~0.20 (early-1960s norm)"
US,1966,automatic,0.056,1,"BLS; Hirsch-Macpherson","0.28 x 0.20"
US,1970,automatic,0.081,1,"BLS; Hirsch-Macpherson","density 0.271 x COLA share 0.30"
US,1973,automatic,0.098,1,"BLS; Card (1986) notes ~60% of workers under large US union contracts indexed","density 0.245 x 0.40"
US,1976,automatic,0.138,1,"Lacombe & Borum (1987) MLR: ~three-fifths of workers under major CBAs 1976-84","density 0.230 x 0.60"
US,1980,automatic,0.138,1,"Lacombe & Borum (1987) MLR","density 0.230 x 0.60"
US,1984,automatic,0.113,1,"Lacombe & Borum (1987) MLR","density 0.188 x 0.60"
US,1985,automatic,0.088,1,"Lacombe & Borum (1987) MLR: COLA coverage 49% at end-1985","density 0.180 x 0.49"
US,1986,automatic,0.070,1,"Lacombe & Borum (1987) MLR: 40% at end-1986; clauses dropped or suspended for 434,000 workers in 1986","density 0.175 x 0.40"
US,1990,automatic,0.064,1,"BLS Major Settlements: ~40% 1987-90","density 0.161 x 0.40"
US,1991,automatic,0.047,1,"BLS Major Settlements: 30% at end-1991","density 0.158 x 0.30"
US,1993,automatic,0.037,1,"BLS Major Settlements: 24% at end-1993","density 0.155 x 0.24"
US,1995,automatic,0.035,1,"BLS Major Settlements discontinued 1995 at 24%","density 0.148 x 0.24"
