key,SeriesCode,line,level,label,gs
DNEAR,DNEARG,6,5,New autos,G
DNWTR,DNWTRG,9,5,New light trucks,G
DNPUR,DNPURG,13,5,Used autos,G
DUTRR,DUTRRG,17,5,Used light trucks,G
DTATR,DTATRG,21,5,Tires,G
DPAAR,DPAARG,22,5,Accessories and parts,G
DFNRR,DFNRRG,25,5,Furniture,G
DCLFR,DCLFRG,26,5,"Clocks, lamps, lighting fixtures, and other household decorative items",G
DFLRR,DFLRRG,27,5,Carpets and other floor coverings,G
DWCTR,DWCTRG,28,5,Window coverings,G
DMHAR,DMHARG,30,5,Major household appliances,G
DSEAR,DSEARG,31,5,Small electric household appliances,G
DCHNR,DCHNRG,33,5,Dishes and flatware,G
DNECR,DNECRG,34,5,Nonelectric cookware and tableware,G
DHDWR,DHDWRG,36,5,"Tools, hardware, and supplies",G
DLWNR,DLWNRG,37,5,Outdoor equipment and supplies,G
DVAAR,DVAARG,40,5,Video and audio equipment,G
DCAMR,DCAMRG,47,5,Photographic equipment,G
DIPER,DIPERG,48,5,Information processing equipment,G
DSPGR,DSPGRG,52,4,"Sporting equipment, supplies, guns, and ammunition (part of 80)",G
DMCYR,DMCYRG,54,5,Motorcycles,G
DBCYR,DBCYRG,55,5,Bicycles and accessories,G
DBARR,DBARRG,56,5,"Pleasure boats, aircraft, and other recreational vehicles",G
DRBKR,DRBKRG,60,4,Recreational books (part of 90),G
DMSCR,DMSCRG,61,4,Musical instruments (part of 80),G
DJLYR,DJLYRG,64,5,Jewelry,G
DWTCR,DWTCRG,65,5,Watches,G
DTMER,DTMERG,67,5,Therapeutic medical equipment,G
DEYER,DEYERG,68,5,Corrective eyeglasses and contact lenses,G
DEBKR,DEBKRG,69,4,Educational books (96),G
DLUGR,DLUGRG,70,4,Luggage and similar personal items (part of 119),G
DTCER,DTCERG,71,4,Telephone and related communication equipment,G
DFOFR,DFOFRG,75,5,Food purchased for off-premises consumption,G
DNBVR,DNBVRG,96,5,Nonalcoholic beverages purchased for off-premises consumption,G
DLIQR,DLIQRG,100,5,Spirits,G
DWINR,DWINRG,101,5,Wine,G
DMLTR,DMLTRG,102,5,Beer,G
DFFDR,DFFDRG,103,4,Food produced and consumed on farms (6),G
DWGCR,DWGCRG,106,5,Women's and girls' clothing (10),G
DMBCR,DMBCRG,107,5,Men's and boys' clothing (11),G
DCICR,DCICRG,108,5,Children's and infants' clothing (12),G
DCSMR,DCSMRG,110,5,Clothing materials,G
DMICR,DMICRG,111,5,Standard clothing issued to military personnel,G
DSHUR,DSHURG,112,5,Shoes and other footwear,G
DGASR,DGASRG,115,5,Gasoline and other motor fuel,G
DLUBR,DLUBRG,116,5,Lubricants and fluids,G
DOILR,DOILRG,118,5,Fuel oil,G
DLPFR,DLPFRG,119,5,Other fuels,G
DPNPR,DPNPRG,122,5,Pharmaceutical products,G
DOMPR,DOMPRG,125,5,Other medical products,G
DDOLR,DDOLRG,127,5,"Games, toys, and hobbies",G
DPRPR,DPRPRG,128,5,Pets and related products,G
DFLOR,DFLORG,129,5,"Flowers, seeds, and potted plants",G
DFLMR,DFLMRG,130,5,Film and photographic supplies,G
DCLER,DCLERG,132,5,Household cleaning products,G
DPAPR,DPAPRG,133,5,Household paper products,G
DLINR,DLINRG,134,5,Household linens,G
DSEWR,DSEWRG,135,5,Sewing items,G
DMHPR,DMHPRG,136,5,Miscellaneous household products,G
DOPHR,DOPHRG,138,5,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",G
DCOSR,DCOSRG,139,5,Cosmetic / perfumes / bath / nail preparations and implements,G
DEAPR,DEAPRG,140,5,Electric appliances for personal care,G
DTOBR,DTOBRG,141,4,Tobacco (127),G
DMAGR,DMAGRG,143,5,Newspapers and periodicals,G
