# wage_uprating.csv -- PUBLISHED statutory uprating decisions.
#
# This file is a VALIDATION TARGET, not a model input. The pipeline implements
# each country's uprating *rule* (ism.wage_pipeline.benefit_index) and applies
# it to observed price and wage data; this table is what the rule has to
# reproduce. Where the implemented rule and the published decision disagree by
# more than 0.1pp, ism.wage_validate reports it.
#
# effective_month is the month the higher payment actually reaches recipients.
# For US OASDI that is January of the year after the COLA's nominal year: the
# SSA table labels a COLA by the December it is effective for, and December
# benefits are paid in January. The 1975-82 COLAs were paid from June of their
# own year.
country,programme,nominal_year,effective_month,pct,rule,source
US,OASDI,1975,1975-06,8.0,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1976,1976-06,6.4,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1977,1977-06,5.9,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1978,1978-06,6.5,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1979,1979-06,9.9,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1980,1980-06,14.3,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1981,1981-06,11.2,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1982,1982-06,7.4,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1983,1984-01,3.5,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,1984,1985-01,3.5,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
