,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_automatic,cov_public,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1960-01-01,1.1753884546144011,-1.4384633210337228,1.1753884546144011,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.47549591192366236,,,,0.6998925426907388,,13.29762927519626,,100.0,100.0,BE
1960-04-01,0.5385661683503074,-1.006301052974834,0.5385661683503074,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.48810996320899136,,,,0.05045620514131599,,13.264217774499237,,100.0,100.0,BE
1960-07-01,-0.2974578804323613,-0.6317628169206557,-0.2974578804323613,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.3309963944807208,,,,-0.6284542749130821,,13.24328471080119,,100.0,100.0,BE
1960-10-01,-0.21440563752843644,2.2189046408154667,-0.21440563752843644,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.22191598807888935,,,,-0.4363216256073258,,13.316952814774353,,100.0,100.0,BE
1961-01-01,0.3354921338088346,0.7611277643153613,0.3354921338088346,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.2446312172248784,,-0.14000377811482778,,0.09086091658395617,,13.342316694871592,,100.0,100.0,BE
1961-04-01,0.8852930108543156,1.19290245520709,0.8852930108543156,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.3727635759507658,,0.3971830476453242,,0.5125294349035497,,13.382166292048437,,100.0,100.0,BE
1961-07-01,1.6938400217515692,2.602425226668359,1.6938400217515692,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.6369788651109265,,1.3628436272708484,,1.0568611566406427,,13.469515351041231,,100.0,100.0,BE
1961-10-01,1.0344676787120477,-0.4185847313426194,1.0344676787120477,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.7164766278311507,,0.8125516906331584,,0.31799105088089696,,13.455427389922303,,100.0,100.0,BE
1962-01-01,0.9667543903842724,0.49027461100425995,0.9667543903842724,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,0.7665321803417751,,0.722123173159394,,0.2002222100424973,,13.471929637221166,,100.0,100.0,BE
1962-04-01,2.275092157158376,6.426253522303504,2.275092157158376,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,1.0682441757050953,,1.9023285812076103,,1.2068479814532806,,13.690112656861425,,100.0,100.0,BE
1962-07-01,1.102650163651342,-2.087342747359777,1.102650163651342,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,1.0751253732943447,,0.46567129854041545,,0.027524790356997286,,13.618858839068196,,100.0,100.0,BE
1962-10-01,1.2309302492945928,0.09453561123038412,1.2309302492945928,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,1.1062863484943943,,0.5144536214634421,,0.12464390080019849,,13.622077887308109,,100.0,100.0,BE
1963-01-01,2.283461028887812,4.700397729377137,2.283461028887812,,,,,,,0.0,,,,,0.96,0.18,1.0,0.0,0.0,0.0,0.0,1.341721284573078,,1.516928848546037,,0.9417397443147342,,13.783095050274067,,100.0,100.0,BE
