,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_benchmark,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1960-01-01,2.20331426051521,-0.7573041779183054,2.20331426051521,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.3793228915083167,,,,0.8239913690068934,,2.5558978800756553,,100.0,100.0,ES
1960-04-01,0.797035426485293,-1.0300793400991548,0.797035426485293,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.262865398503712,,,,-0.4658299720184189,,2.5493244037069798,,100.0,100.0,ES
1960-07-01,0.9325577181413691,0.5695389981088983,0.9325577181413691,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.1968038624312434,,,,-0.26424614428987425,,2.552956838276584,,100.0,100.0,ES
1960-10-01,0.760392791884501,4.259415687446566,0.760392791884501,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.1095216483218948,,,,-0.3491288564373938,,2.5802873560844892,,100.0,100.0,ES
1961-01-01,1.2108247458286758,1.0444236378583938,1.2108247458286758,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.129782267823251,,-0.16849814567964083,,0.08104247800542486,,2.5870334422344983,,100.0,100.0,ES
1961-04-01,0.8042041312435577,-2.6565617984396273,0.8042041312435577,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0646666405073124,,-0.4586612672601542,,-0.2604625092637547,,2.5699088353648745,,100.0,100.0,ES
1961-07-01,0.34497110946444254,-1.2673930890075624,0.34497110946444254,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9207275342987384,,-0.8518327529668008,,-0.5757564248342959,,2.5617790100285966,,100.0,100.0,ES
1961-10-01,0.8610827546980615,6.323862268381042,0.8610827546980615,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.908798578378603,,-0.2484388936238333,,-0.0477158236805415,,2.60260170013652,,100.0,100.0,ES
1962-01-01,1.6445880447310324,4.178444797990277,1.6445880447310324,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0559564716490888,,0.5148057769077814,,0.5886315730819436,,2.629931264299224,,100.0,100.0,ES
1962-04-01,5.4552380294432545,12.586038140409261,5.4552380294432545,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.935812783207922,,4.390571388935943,,3.5194252462353326,,2.71399794967974,,100.0,100.0,ES
1962-07-01,6.571958275761736,3.199487896266362,6.571958275761736,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.8630418817186847,,5.651230741462998,,3.708916394043051,,2.7357935107425697,,100.0,100.0,ES
1962-10-01,8.39714297171028,13.624601052175223,8.39714297171028,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.969862099717004,,7.488344393331678,,4.427280871993277,,2.8305839364053673,,100.0,100.0,ES
1963-01-01,10.4393215024837,12.347158921083956,10.4393215024837,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.2637539802703435,,9.38336503083461,,5.175567522213357,,2.9193206223338892,,100.0,100.0,ES
1963-04-01,8.51772774834636,4.899663123859899,8.51772774834636,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.914548733885547,,6.581914965138438,,2.603179014460813,,2.9552997484672727,,100.0,100.0,ES
1963-07-01,8.330537837542895,2.450728253052503,8.330537837542895,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.397746554617017,,5.46749595582421,,1.9327912829258782,,2.9734619213152973,,100.0,100.0,ES
1963-10-01,6.35104668472195,5.706636440891444,6.35104668472195,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.388406580638003,,2.3811845850049465,,-0.03735989591605282,,3.016187133598689,,100.0,100.0,ES
1964-01-01,3.9216340833902796,2.629508515757273,3.9216340833902796,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.895052081188458,,-1.3421198968800638,,-1.9734179977981787,,3.036080172486051,,100.0,100.0,ES
1964-04-01,3.9141886847761542,4.869881529403397,3.9141886847761542,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.498879401905998,,-2.0003600491093927,,-1.5846907171298437,,3.073269474379168,,100.0,100.0,ES
1964-07-01,7.775816100308508,17.89723791518192,7.775816100308508,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.9542667415865,,1.378069545691491,,1.8215493587220077,,3.2138997175509627,,100.0,100.0,ES
1964-10-01,11.063990613291331,18.859334492822732,11.063990613291331,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.976211515927466,,4.675584032653328,,4.087779097363865,,3.3690587453559755,,100.0,100.0,ES
1965-01-01,14.308545242180305,15.607727031313168,14.308545242180305,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.442678261178035,,8.413493160991846,,5.86586698100227,,3.5031155121590936,,100.0,100.0,ES
1965-04-01,15.022727788331135,7.726611714006726,15.022727788331135,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.758688166608655,,9.523848386425136,,5.26403962172248,,3.571441329856255,,100.0,100.0,ES
1965-07-01,11.171273931802927,2.491422489069084,11.171273931802927,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.04120531964751,,5.217007190216427,,1.1300686121554175,,3.593755673908286,,100.0,100.0,ES
1965-10-01,9.401648042206157,11.780830934435649,9.401648042206157,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.91329386415924,,2.4254365262786903,,-0.5116458219530831,,3.701173315674033,,100.0,100.0,ES
1966-01-01,6.346707148844288,3.3879634578656947,6.346707148844288,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.19997652109625,,-2.0959711123337463,,-2.8532693722519618,,3.7326550510407435,,100.0,100.0,ES
1966-04-01,6.374504107851897,7.837799550037161,6.374504107851897,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.63488203844738,,-3.384184058756758,,-2.2603779305954825,,3.8065158254829785,,100.0,100.0,ES
1966-07-01,6.318067250330439,2.265675058983252,6.318067250330439,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.171519080823991,,-3.723138069317071,,-1.8534518304935519,,3.828137823119275,,100.0,100.0,ES
1966-10-01,5.2040963837573395,7.32494746814325,5.2040963837573395,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.578034541410661,,-4.7091974804019,,-2.3739381576533214,,3.8988858996263054,,100.0,100.0,ES
1967-01-01,6.068190939966733,6.84434168270327,6.068190939966733,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.276065821121875,,-3.1317855811295168,,-1.207874881155142,,3.966173197699865,,100.0,100.0,ES
1967-04-01,5.966721394625507,7.431921368672256,5.966721394625507,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.014196935822602,,-2.6681606438218726,,-1.0474755411970946,,4.0405527551313005,,100.0,100.0,ES
1967-07-01,6.057432870076052,2.62852096078543,6.057432870076052,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.822844122673292,,-2.1140862107479395,,-0.7654112525972403,,4.0671918801686715,,100.0,100.0,ES
1967-10-01,6.6754107019441955,9.796858795615826,6.6754107019441955,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.793357438527472,,-0.9026238394664654,,-0.11794673658327692,,4.168036045565743,,100.0,100.0,ES
