,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_automatic,cov_benchmark,cov_minwage,cov_public,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,gw_alt,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1960-01-01,4.125916352837322,6.707261176536328,4.125916352837322,6.618097423068958,6.356548467736811,,,,,0.0,0.24,,,,0.0,0.7,0.4,0.0,0.35,0.0,0.0,0.0,0.0,4.072324837473573,,,-341.0965111684525,0.053591515363748954,,2.9143004538438997,9.086502198594847,2.3928215353938187,100.0,100.0,FR
1960-04-01,4.23039069409108,0.20458421913698288,4.23039069409108,6.778787647702078,6.311588162606441,,,,,0.0,0.24,,,,0.0,0.7,0.4012455516014235,0.0,0.3504359430604982,0.0,0.0,0.0,0.0,4.1039380087970745,,,-339.5697601825851,0.1264526852940051,,2.9606498254901688,9.09115077466761,2.3928215353938187,100.0,100.0,FR
1960-07-01,4.402560979994341,3.6650581073491395,4.402560979994341,7.752899364088117,9.048076941953731,,,,,0.0,0.24,,,,0.0,0.7,0.402491103202847,0.0,0.3508718861209964,0.0,0.0,0.0,0.0,4.163662603036528,,,-338.2240054739339,0.23889837695781324,,3.0283834800866796,9.174832552066729,2.3928215353938187,106.84200561684956,100.0,FR
1960-10-01,3.476839807607801,3.3304557274087543,3.476839807607801,7.100908003316864,6.687418440970472,,,,,4.082199452025526,0.25,,,,0.0,0.7,0.4037503421845059,0.0,0.35131261976457706,0.0,0.0,0.0,0.0,4.026298043950782,-2.1455135881353726,,-337.3847647955435,-0.5494582363429812,,3.079439248815948,9.251542391367868,2.4925224327018944,106.84200561684956,100.0,FR
1961-01-01,2.151172789457245,1.4045931039341042,2.151172789457245,7.366749788709148,7.419915609305949,,,,,4.082199452025526,0.25,,,,0.0,0.7,0.4050095811661648,0.0,0.35175335340815767,0.0,0.0,0.0,0.0,3.651272993052075,-3.0473176641455098,-1.921152048016328,-335.8809341692006,-1.5001002035948297,,3.1370952977107773,9.2840861279219,2.4925224327018944,106.84200561684956,100.0,FR
1961-04-01,1.7739985523844037,-1.304112729154383,1.7739985523844037,7.978895746519266,8.76017199384691,,,,,4.082199452025526,0.25,,,,0.0,0.7,0.4062414453873529,0.0,0.3521845058855735,0.0,0.0,0.0,0.0,3.2758181049185406,-4.788109979495744,-2.3299394564126708,-333.3648629884502,-1.501819552534137,,3.206556876563025,9.253866679404252,2.4925224327018944,106.84200561684956,100.0,FR
1961-07-01,1.9569557903338808,4.396887059147048,1.9569557903338808,7.450179496283749,6.933211941011663,,,,,4.082199452025526,0.25,,,,0.0,0.7,0.4074869969887764,0.0,0.3526204489460717,0.0,0.0,0.0,0.0,3.012045642001609,-4.332121111085144,-2.206706812702647,-332.7307817679841,-1.055089851667728,,3.262620696948754,9.356148317161447,2.4925224327018944,115.00995135093929,100.0,FR
1961-10-01,3.578415560027093,9.816294806181602,3.578415560027093,7.919643176923041,8.565273163527642,,,,,3.922071315328135,0.26,,,,0.0,0.7,0.4087462359704353,0.0,0.35306118258965236,0.0,0.0,0.0,0.0,3.1253196256067057,-2.9879455317167753,-0.44788248392368946,-333.04353717864757,0.4530959344203871,,3.333237153990005,9.588595641023065,2.59222333000997,115.00995135093929,100.0,FR
1962-01-01,4.7272510769031495,5.999935171438331,4.7272510769031495,7.891909263321839,7.30897995490114,,,,,3.922071315328135,0.26,,,,0.0,0.7,0.41000547495209416,0.0,0.3535019162332329,0.0,0.0,0.0,0.0,3.4457059158659944,-2.4844142478727917,1.0759780838510746,-332.7162759827819,1.281545161037155,,3.3947034223029937,9.733507128996552,2.59222333000997,115.00995135093929,100.0,FR
1962-04-01,6.030204640245129,3.907701524213536,6.030204640245129,7.883528945352591,8.72665072196992,,,,,3.922071315328135,0.26,,,,0.0,0.7,0.41123733917328226,0.0,0.3539330687106488,0.0,0.0,0.0,0.0,3.962605660741821,-2.9266317404038773,2.7543865353265886,-331.51153868334274,2.067598979503308,,3.4695781875948253,9.829062221615787,2.59222333000997,115.00995135093929,100.0,FR
1962-07-01,5.7655962019579565,3.3384533059983568,5.7655962019579565,8.437032817072076,9.147227427889604,,,,,3.922071315328135,0.26,,,,0.0,0.7,0.41248289077470573,0.0,0.354369011771147,0.0,0.0,0.0,0.0,4.323203768985048,-3.5437136581009554,2.7535505599563477,-330.05934515287,1.442392432972908,,3.549834900017662,9.911440175287723,2.59222333000997,124.45419676438831,100.0,FR
1962-10-01,4.270993699297465,3.8378847955396367,4.270993699297465,8.588551012620439,9.171345945721088,,,,,7.410797215372189,0.28,,,,0.0,0.7,0.41374212975636465,0.0,0.35480974541472765,0.0,0.0,0.0,0.0,4.312761755047532,-3.946070361187992,1.1456740736907594,-328.72597986532463,-0.041768055750067035,,3.6321670740041703,10.006995267906957,2.791625124626122,124.45419676438831,100.0,FR
1963-01-01,4.501100840247885,6.920363735240009,4.501100840247885,8.524331979724364,7.0521038233168465,,,,,7.410797215372189,0.28,,,,0.0,0.7,0.41500136873802357,0.0,0.3552504790583082,0.0,0.0,0.0,0.0,4.350429572087602,-2.9837709636973386,1.0553949243818903,-328.6930448433054,0.15067126816028242,,3.696770940372492,10.181631714433381,2.791625124626122,124.45419676438831,100.0,FR
1963-04-01,4.5864388146258595,4.249053421725435,4.5864388146258595,8.360807330662057,8.072552125720689,,,,,7.410797215372189,0.28,,,,0.0,0.7,0.4162332329592116,0.0,0.3556816315357241,0.0,0.0,0.0,0.0,4.397631420595253,-3.0636463804005416,0.6238331538840383,-327.7371701673066,0.1888073940306061,,3.772134796089252,10.290363945999914,2.791625124626122,124.45419676438831,100.0,FR
1963-07-01,5.182434119806878,5.722434526722431,5.182434119806878,7.9552927738537615,7.525169200656423,,,,,10.91992919649918,0.29,,,,0.0,0.7,0.41747878456063514,0.0,0.3561175745962223,0.0,0.0,0.0,0.0,4.554591960437579,-2.621607572457606,0.8592303508218295,-327.2864864988231,0.6278421593692993,,3.843771411801264,10.438636854520041,2.8913260219341974,135.52838076613773,100.0,FR
1963-10-01,5.2280355386515875,4.020290470918475,5.2280355386515875,7.078387499506711,5.663724848332885,,,,,3.5091319811269894,0.29,,,,0.0,0.7,0.418738023542294,0.0,0.3565583082398029,0.0,0.0,0.0,0.0,4.68928067608038,-2.188821834965438,0.9152737836040554,-326.8756279044695,0.5387548625712073,,3.8985837073870746,10.544081746433523,2.8913260219341974,135.52838076613773,100.0,FR
1964-01-01,4.183069421723085,2.7404992675259976,4.183069421723085,7.262346174475898,7.787938523193594,,,,,3.5091319811269894,0.29,,,,0.0,0.7,0.4199972625239529,0.0,0.3569990418833835,0.0,0.0,0.0,0.0,4.5880384252089215,-2.6545310284515153,-0.16736015036451768,-325.6137680905526,-0.40496900348583686,,3.9752322796691177,10.616569900811212,2.8913260219341974,135.52838076613773,100.0,FR
1964-04-01,3.4307525941733363,1.239786111526442,3.4307525941733363,6.730154717686987,5.943786298565046,,,,,3.5091319811269894,0.29,,,,0.0,0.7,0.4212428141253764,0.0,0.3574349849438817,0.0,0.0,0.0,0.0,4.356581259001804,-2.9756894946999637,-0.966878826421917,-324.43776804379297,-0.9258286648284679,,4.034743162510783,10.649526638347005,2.8913260219341974,135.52838076613773,100.0,FR
1964-07-01,2.7092494218207364,2.836421837312031,2.7092494218207364,6.200994136606186,5.4085268763332195,,,,,0.0,0.29,,,,0.0,0.7,0.42248836572679993,0.0,0.3578709280043799,0.0,0.0,0.0,0.0,4.02711489156559,-2.7227089525435986,-1.8453425386168423,-323.7947417840376,-1.317865469744854,,4.08966870059019,10.725311392489443,2.8913260219341974,145.7371318707001,100.0,FR
1964-10-01,2.347228755679387,2.5722078063530773,2.347228755679387,6.230646469842471,5.782334181278026,,,,,0.0,0.29,,,,0.0,0.7,0.4237476047084588,0.0,0.3583116616479606,0.0,0.0,0.0,0.0,3.6911376643883496,-2.652619376833286,-2.3420519204009933,-322.9922101903064,-1.3439089087089626,,4.149217656339185,10.794502947102384,2.8913260219341974,145.7371318707001,100.0,FR
1965-01-01,2.3617189453438048,2.798460026183669,2.3617189453438048,5.5326719591209494,4.9960404803075065,,,,,3.390155167568132,0.3,,,,0.0,0.7,0.4250068436901177,0.0,0.3587523952915412,0.0,0.0,0.0,0.0,3.425253920579441,-2.3328824207704884,-2.2263194798651167,-322.44281507677545,-1.063534975235636,,4.201366800868694,10.870287701244822,2.991026919242273,145.7371318707001,100.0,FR
1965-04-01,3.167106233421846,4.461335263838606,3.167106233421846,5.488346247673947,5.766483452777038,,,,,3.390155167568132,0.3,,,,0.0,0.7,0.4262387079113058,0.0,0.359183547768957,0.0,0.0,0.0,0.0,3.373624383147922,-1.8199206350711847,-1.1894750255799584,-322.1165280295408,-0.20651814972607596,,4.262373265608546,10.992206331870351,2.991026919242273,145.7371318707001,100.0,FR
1965-07-01,2.6376970054403426,0.7187849253860179,2.6376970054403426,5.552131524397074,5.663667983225729,,,,,6.669137449867235,0.31,,,,0.0,0.7,0.4274842595127293,0.0,0.3596194908294552,0.0,0.0,0.0,0.0,3.226438907606406,-2.266355742430221,-1.3894178861252477,-320.8803072650809,-0.5887419021660634,,4.323154221589598,11.011976670347149,3.0907278165503493,154.0275144742856,100.0,FR
1965-10-01,2.502023836738987,2.0295151315476545,2.502023836738987,5.6164449750205065,6.039587983771755,,,,,6.669137449867235,0.31,,,,0.0,0.7,0.4287434984943882,0.0,0.3600602244730359,0.0,0.0,0.0,0.0,3.081555893432922,-2.4321115560660473,-1.1891138276493627,-319.87778905202487,-0.5795320566939353,,4.38892468088764,11.06799108601279,3.0907278165503493,154.0275144742856,100.0,FR
1966-01-01,2.6325152162199217,3.320425544107408,2.6325152162199217,5.956373355212752,6.355754001076486,,,,,3.2789822822991033,0.31,,,,0.0,0.7,0.4300027374760471,0.0,0.3605009581166165,0.0,0.0,0.0,0.0,2.991747757990322,-2.2980250994510243,-0.7927387043595191,-319.11895693778257,-0.35923254177040054,,4.459218982559179,11.160249578867276,3.0907278165503493,154.0275144742856,100.0,FR
1966-04-01,2.252607698833531,2.941705194293043,2.252607698833531,5.801610906632037,5.147433658454181,,,,,3.2789822822991033,0.31,,,,0.0,0.7,0.43123460169723515,0.0,0.3609321105940323,0.0,0.0,0.0,0.0,2.843919746158964,-1.971427780883289,-1.121016684314391,-318.5675248217423,-0.5913120473254332,,4.516973630521708,11.242627532539212,3.0907278165503493,154.0275144742856,100.0,FR
1966-07-01,2.6282437132188807,2.2213289829274174,2.6282437132188807,5.797456110269472,5.647048797775467,,,,,0.0,0.31,,,,0.0,0.7,0.43248015329865863,0.0,0.3613680536545305,0.0,0.0,0.0,0.0,2.800784539570947,-1.9138867785109142,-0.5981951943875252,-317.71109486803033,-0.17254082635206647,,4.581194815359945,11.305235147734352,3.0907278165503493,163.48070733508158,100.0,FR
1966-10-01,2.7600090816799927,2.5565766053921024,2.7600090816799927,5.683597433221155,5.584153275578485,,,,,3.174869831458027,0.32,,,,0.0,0.7,0.43373939228031755,0.0,0.3618087872981111,0.0,0.0,0.0,0.0,2.7926294479927565,-1.659053105397959,-0.32154681175292943,-316.9542007004837,-0.03262036631276377,,4.645598554907687,11.37772330211204,3.190428713858425,163.48070733508158,100.0,FR
1967-01-01,2.766239332971532,3.3453465492735646,2.766239332971532,5.600437338755948,6.023113623215659,,,,,3.174869831458027,0.32,,,,0.0,0.7,0.43499863126197647,0.0,0.3622495209416917,0.0,0.0,0.0,0.0,2.7873514249885116,-1.2890291223201302,-0.22550842501879043,-316.28475893199817,-0.021112092016979833,,4.716080292430695,11.473278394731276,3.190428713858425,163.48070733508158,100.0,FR
1967-04-01,2.432105245590499,1.6051688447689116,2.432105245590499,5.886453277179093,6.291497412146763,,,,,3.174869831458027,0.32,,,,0.0,0.7,0.4362304954831645,0.0,0.3626806734191076,0.0,0.0,0.0,0.0,2.716302189108909,-1.3834670726972718,-0.411814500568465,-315.1131767901537,-0.2841969435184102,,4.790844743914109,11.519412271214367,3.190428713858425,163.48070733508158,100.0,FR
1967-07-01,2.532505698799703,2.6229307957642334,2.532505698799703,5.759744646095266,5.140214273440158,,,,,6.252035698133396,0.33,,,,0.0,0.7,0.43747604708458804,0.0,0.3631166164796058,0.0,0.0,0.0,0.0,2.6795428910470678,-0.7601610959953291,-0.2682788407712442,-314.48385592073475,-0.14703719224736478,,4.852806936250778,11.595197025356805,3.290129611166501,172.89757355964892,100.0,FR
1967-10-01,3.276222925430705,5.531445511916111,3.276222925430705,6.146541122195137,7.131339179977969,,,,,3.0771658666753687,0.33,,,,0.0,0.7,0.43873528606624695,0.0,0.3635573501231864,0.0,0.0,0.0,0.0,2.798878897923795,0.07824759228157063,0.48359347743794867,-314.0838825037193,0.4773440275069101,,4.940100302930878,11.75665633293593,3.290129611166501,172.89757355964892,100.0,FR
1968-01-01,3.831464065907131,5.566311111179267,3.831464065907131,5.843212402965381,4.809798746296634,,,,,6.062462181643502,0.34,,,,0.0,0.7,0.4399945250479058,0.0,0.363998083766767,0.0,0.0,0.0,0.0,3.005395931520462,1.3872062314392792,1.0441126409186192,-314.27301059493993,0.8260681343866687,,4.99986110024117,11.921402980168104,3.3898305084745766,172.89757355964892,100.0,FR
1968-04-01,4.091337430392761,2.6446623027114313,4.091337430392761,14.34019697281894,40.279435691561005,,,,,36.29054936893685,0.46,,,,0.0,0.7,0.44124007664932935,0.0,0.3644340268272652,0.0,0.0,0.0,0.0,3.2225842312949218,-7.1836624663519615,1.3750352412838516,-304.86431724772757,0.868753199097839,,5.529562626322003,12.000484334075292,4.586241276171486,172.89757355964892,100.0,FR
1968-07-01,4.636452750158604,4.803392074827606,4.636452750158604,15.225598343791646,8.681819757330977,,,,,33.213383502261486,0.46,,,,0.0,0.7,0.4424856282507528,0.0,0.36486996988776343,0.0,0.0,0.0,0.0,3.505357935067658,-6.4935741143708015,1.9569098591115361,-303.8947103271017,1.131094815090946,,5.650891219698163,12.145460642830669,4.586241276171486,183.30134322658557,100.0,FR
1968-10-01,5.188114049463177,7.738090709134404,5.188114049463177,14.939140786663547,5.985508951465568,,,,,35.36400402435783,0.47,,,,0.0,0.7,0.44374486723241174,0.0,0.3653107035313441,0.0,0.0,0.0,0.0,3.8419091579467617,-4.432797596434966,2.389235151539382,-304.33285576651895,1.3462048915164155,,5.736085695333157,12.38270470455223,4.685942173479561,183.30134322658557,100.0,FR
1969-01-01,5.537562040376454,6.964103074832373,5.537562040376454,15.557477522732805,7.283145690573667,,,,,32.3787077093897,0.47,,,,0.0,0.7,0.44500410621407066,0.0,0.36575143717492475,0.0,0.0,0.0,0.0,4.1810397344327,-3.078885752668043,2.5321661088559915,-304.25309511258354,1.356522305943754,,5.84148419379117,12.600178427796997,4.685942173479561,183.30134322658557,100.0,FR
