,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,transfer_share,h,h_disc,cov_automatic,cov_benchmark,cov_public,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1960-01-01,2.4330538441238003,2.9065081040143603,2.4330538441238003,2.4605093925027077,5.829304565398097,,,,,0.0,,,,0.4,0.0,0.14,0.5,0.0,0.0,0.0,0.0,2.346830300506899,1.3225700934443125,,-388.2192792931646,0.08622354361690121,1.0988132146586906,3.6690110424108093,1.0988132146586906,100.0,100.0,IT
1960-04-01,2.406941201836754,-0.5795728667831845,2.406941201836754,4.896035967154333,6.884923236706442,,,,,0.0,,,,0.40930096732980475,0.0,0.14,0.5083708705968243,0.0,0.0,0.0,0.0,2.35885248077287,-0.21023026582531656,,-386.35315526729215,0.048088721063884066,1.117890033306513,3.6636987438000936,1.117890033306513,100.0,100.0,IT
1960-07-01,2.9555820654212805,2.3134769220706453,2.9555820654212805,5.745714006795977,3.3987121585665747,,,,,0.0,,,,0.41860193465960943,0.0,0.14,0.5167417411936486,0.0,0.0,0.0,0.0,2.478198397702552,0.12475015440634252,,-386.08184645816823,0.4773836677187284,1.1274289671511457,3.684949845711039,1.1274289671511457,102.491029729341,100.0,IT
1960-10-01,1.5055205470288602,1.3816700288136197,1.5055205470288602,4.870662019043248,3.3697081155018793,,,,,0.0,,,,0.4280051104216098,0.0,0.14,0.5252045993794489,0.0,0.0,0.0,0.0,2.283662827567814,0.176603347368939,,-385.5848369364961,-0.7781422805389537,1.136966851954335,3.6977003161107973,1.136966851954335,102.491029729341,100.0,IT
1961-01-01,1.494727339637869,2.863335274450396,1.494727339637869,5.406777399352913,7.973766086636758,,,,,0.0,,,,0.43740828618361016,0.0,0.14,0.5336674575652491,0.0,0.0,0.0,0.0,2.125875729981825,-0.5612358331831047,-0.85210296086903,-384.3072292334495,-0.6311483903439559,1.1598590343317219,3.7242646703665,1.1598590343317219,102.491029729341,100.0,IT
1961-04-01,2.0382431710390003,1.5944904588213404,2.0382431710390003,4.013957372267685,1.313643128365527,,,,,0.0,,,,0.44660704508121923,0.0,0.14,0.5419463405730973,0.0,0.0,0.0,0.0,2.10834921819326,0.1662101129892335,-0.3206093097338698,-384.3774410660635,-0.07010604715425961,1.1636743980612865,3.7391400602105445,1.1636743980612865,102.491029729341,100.0,IT
1961-07-01,1.970083023074909,2.0408363302142796,1.970083023074909,3.817882890797053,2.614414232684048,,,,,0.0,,,,0.4559080124110239,0.0,0.14,0.5503172111699215,0.0,0.0,0.0,0.0,2.08069597916959,0.5698618694672177,-0.5081153746276432,-384.23404659044604,-0.11061295609468091,1.1713051255204157,3.7582662426772036,1.1713051255204157,108.18503562178384,100.0,IT
1961-10-01,2.6093510466320025,3.938742123041994,2.6093510466320025,4.697767938791486,6.889248307479612,,,,,0.0,,,,0.4653111881730243,0.0,0.14,0.5587800693557219,0.0,0.0,0.0,0.0,2.1864269926620725,0.3190077621489422,0.32568821906418854,-383.4964200443367,0.42292405396992994,1.1916533823976116,3.7954561478883777,1.1916533823976116,108.18503562178384,100.0,IT
1962-01-01,3.3387812576214593,5.781056118408223,3.3387812576214593,6.217158727505545,14.051329241492994,,,,,0.0,,,,0.47471436393502464,0.0,0.14,0.5672429275415223,0.0,0.0,0.0,0.0,2.41689784565395,-1.2274593498690365,1.2129055276396343,-381.4288517635655,0.9218834119675092,1.2342581025375075,3.8507088221100263,1.2342581025375075,108.18503562178384,100.0,IT
1962-04-01,4.446401683764334,6.024972163392839,4.446401683764334,8.58264171496792,10.775575078215027,,,,,0.0,,,,0.4839131228326337,0.0,0.14,0.5755218105493703,0.0,0.0,0.0,0.0,2.822798613276027,-1.681488834671427,2.338052465571074,-380.2412010348599,1.6236030704883069,1.2679596079474578,3.909148875498104,1.2679596079474578,108.18503562178384,100.0,IT
