,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,slack,slack_vu,gpty,dmw,minwage,transfer_share,h,h_disc,cov_automatic,cov_benchmark,cov_minwage,cov_public,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1963-01-01,3.0790996725019726,5.733971668396798,3.0790996725019726,,,,,,,,0.0,,,,,0.0,0.3440025552108049,0.0,0.0,0.10320076656324147,0.0,0.0,0.0,0.0,2.2384256254867685,,,53.99839980025101,0.8406740470152041,2.0044468630453354,5.845919280791102,,100.0,100.0,UK
1963-04-01,1.6119381879883488,2.4676204106862443,1.6119381879883488,,10.1412115931792,,,,,,0.0,,,,,0.0,0.345152400073006,0.0,0.0,0.10354572002190181,0.0,0.0,0.0,0.0,2.1131281379870845,,,55.91679759587428,-0.5011899499987358,2.0559153465732316,5.882094523865305,,103.11890838206628,100.0,UK
1963-07-01,1.3715925746708324,-2.7152217803997125,1.3715925746708324,,6.799688294557704,,,,,,0.0,,,,,0.0,0.3463150209892316,0.0,0.0,0.10389450629676948,0.0,0.0,0.0,0.0,1.964821025323834,,,58.295525114613625,-0.5932284506530017,2.091163048295747,5.842301756483682,,103.11890838206628,100.0,UK
1963-10-01,2.050398019770716,2.715221780399535,2.050398019770716,,11.542401321008988,,,,,,0.0,,,,,0.0,0.34749041795948166,0.0,0.0,0.10424712538784449,0.0,0.0,0.0,0.0,1.9819364242132105,,,60.50231999976597,0.06846159555750564,2.152384714366685,5.8820945238653035,,103.11890838206628,100.0,UK
1964-01-01,1.4742281737203378,3.4292922841952844,1.4742281737203378,8.227068372553159,4.424972281466744,,,,,,0.0,,,,,0.0,0.3486658149297317,0.0,0.0,0.10459974447891951,0.0,0.0,0.0,0.0,1.8803947741146358,,-0.7641974517664307,60.75123999908383,-0.4061666003942981,2.176327509703261,5.9327398641691875,,103.11890838206628,100.0,UK
1964-04-01,2.72992384876376,7.490403110859933,2.72992384876376,6.9535937372121825,5.047313051815294,,,,,,0.0,,,,,0.0,0.3498284358459573,0.0,0.0,0.10494853075378718,0.0,0.0,0.0,0.0,2.0503005890444608,,0.6167957107766755,60.14046748432273,0.6796232597192993,2.2039630149444527,6.044883117699214,,105.69688109161793,100.0,UK
1964-07-01,4.1836959145515,3.0998664827512457,4.1836959145515,7.506260294266864,9.010354522776431,,,,,,0.0,,,,,0.0,0.3509910567621829,0.0,0.0,0.10529731702865487,0.0,0.0,0.0,0.0,2.4769796541458686,,2.2188748892276653,61.61808949432898,1.706716260405631,2.254172620095776,6.091910933695678,,105.69688109161793,100.0,UK
1964-10-01,4.391683156417625,3.547170747864037,4.391683156417625,5.951371641374115,5.322846709437989,,,,,,0.0,,,,,0.0,0.35216645373243294,0.0,0.0,0.10564993611972988,0.0,0.0,0.0,0.0,2.85992035460022,,2.4097467322044146,62.06200848472246,1.531762801817405,2.284369630345754,6.1461737983069815,,105.69688109161793,100.0,UK
1965-01-01,4.471683878179622,3.749295171243272,4.471683878179622,6.785037809757277,7.759636954999394,,,,,,0.0,,,,,0.0,0.353341850702683,0.0,0.0,0.10600255521080489,0.0,0.0,0.0,0.0,3.1822730593161004,,2.591289104064986,63.06459393066148,1.2894108188635216,2.3291169532929095,6.204054187225705,,105.69688109161793,100.0,UK
1965-04-01,5.075454964972859,9.90548745803288,5.075454964972859,6.887222595298503,5.456052193980199,,,,,,0.0,,,,,0.0,0.35449169556488414,0.0,0.0,0.10634750866946524,0.0,0.0,0.0,0.0,3.560909440447452,,3.025154375928398,61.952235114648325,1.5145455245254067,2.3611040707379445,6.359607732444776,,110.20713761315267,100.0,UK
